opendate,st.address,city,state,long,lat,type
9/11/1991,3501 ROUTE 42,Turnersville,NJ,-75.05678,39.784614,SuperCenter
8/4/1992,265 ROUTE 73 NORTH,Berlin,NJ,-74.93392,39.807695,Wal-MartStore
2/2/1993,150 ROUTE 70 EAST,Marlton,NJ,-74.90416,39.88488,Wal-MartStore
3/2/1993,950 ROUTE 37 WEST,Toms River,NJ,-74.23032,40.010092,Wal-MartStore
6/30/1993,525 RTE. 72 WEST,Mannahawkin,NJ,-74.25933,39.707575,Wal-MartStore
8/31/1993,1872 ROUTE 88,Brick,NJ,-74.123,40.042479,Wal-MartStore
10/26/1993,979 ROUTE#1 SOUTH,North Brunswick,NJ,-74.48287,40.453131,Wal-MartStore
10/26/1993,709 SOUTH BROADWAY,Pennsville,NJ,-75.51923,39.645377,Wal-MartStore
1/4/1994,2106 MT HOLLY ROAD,Burlington,NJ,-74.84463,40.06834,Wal-MartStore
10/22/1994,4620 BLACK HORSE PIKE,May's Landing,NJ,-74.7581,39.478771,Wal-MartStore
1/3/1995,2291 NORTH SECOND STREET,Millville,NJ,-75.03923,39.379382,Wal-MartStore
5/31/1995,101 NASSAU PARK BLVD,Princeton,NJ,-74.712018,40.280531,Wal-MartStore
10/17/1995,4900 U.S. HWY #9,Howell,NJ,-74.20815,40.146597,Wal-MartStore
12/30/1995,55 S WHITE HORSE PIKE,Hammonton,NJ,-74.77705,39.625291,Wal-MartStore
3/26/1997,ROUTE 513 AND I-78,Clinton,NJ,-74.91292,40.639546,Wal-MartStore
10/29/1997,1236 ROUTE 22,Phillipsburg,NJ,-75.17243,40.689123,Wal-MartStore
10/28/1998,1303 CENTENNIAL AVE.,Piscataway,NJ,-74.46094,40.555355,Wal-MartStore
10/28/1998,100 NO. MAIN STREET,Manville,NJ,-74.59222,40.538903,Wal-MartStore
3/17/1999,461 RT 10 LEDGEWOOD MALL #29,Ledgewood,NJ,-74.65769,40.876349,Wal-MartStore
10/13/1999,230 STATE HIGHWAY,Franklin,NJ,-74.58784,41.11736,Wal-MartStore
1/26/2000,1885 ROUTE 57 - SUITE 100,Hackettstown,NJ,-74.83054,40.861748,Wal-MartStore
1/26/2000,26 HAMPTON HOUSE RD/ROUTE 206,Newton,NJ,-74.80199,41.0714,Wal-MartStore
10/25/2000,1740 ROUTE 38,Lumberton,NJ,-74.80666,39.967013,Wal-MartStore
9/19/2001,1126 ROUTE 9,Old Bridge,NJ,-74.3298,40.397507,Wal-MartStore
9/19/2001,900 SPRINGFIELD ROAD,Union,NJ,-74.26933,40.695401,Wal-MartStore
10/24/2001,1601 WEST EDGAR ROAD,Linden,NJ,-74.25339,40.633953,Wal-MartStore
1/23/2002,40 INTERNATIONAL DRIVE SOUTH,Mount Olive (Newark),NJ,-74.70134,40.84405,Wal-MartStore
6/19/2002,189 ROUTE 46 WEST,Saddle Brook,NJ,-74.09474,40.904131,Wal-MartStore
1/22/2003,2501 ROUTE 130 SOUTH,Cinnaminson,NJ,-74.99805,39.997379,Wal-MartStore
1/22/2003,235 RIDGEDALE AVENUE,Cedar Knolls,NJ,-74.45121,40.821149,Wal-MartStore
3/19/2003,700 MARKETPLACE BLVD,Hamilton,NJ,-74.66915,40.17296,Wal-MartStore
1/28/2004,3576 ROUTE 22 WEST,Whitehouse Station,NJ,-74.76682,40.612851,Wal-MartStore
1/28/2004,1501 ROUTE 22 WEST,Watchung,NJ,-74.443695,40.641207,Wal-MartStore
1/28/2004,3575 ROUTE 66 WEST,Monmouth,NJ,-74.05261,40.208945,Wal-MartStore
7/21/2004,300 WOOTTON STREET,Boonton,NJ,-74.41516,40.912798,Wal-MartStore
10/27/2004,400 PARK PLACE,Secaucus,NJ,-74.06,40.7885,Wal-MartStore
10/27/2004,306 US HIGHWAY 9 NORTH,Woodbridge,NJ,-74.28316,40.557104,Wal-MartStore
1/26/2005,500 ROUTE 38,Cherry Hill,NJ,-75.02266,39.932279,Wal-MartStore
5/4/2005,839 ROUTE 130 NORTH,East Windsor,NJ,-74.53246,40.262809,Wal-MartStore
6/15/2005,220 ENTERPRISE DRIVE,Rockaway,NJ,-74.50624,40.926798,Wal-MartStore
10/26/2005,130 BLACKHORSE PIKE,Audubon,NJ,-75.07212,39.892213,Wal-MartStore
10/29/1996,250 SUMMIT PARK DR,Pittsburgh,PA,-80.179475,40.44952,SuperCenter
8/19/1998,1201 OAK STREET,Pittston,PA,-75.77942,41.317242,Wal-MartStore
10/29/2003,877 FREEPORT ROAD,Pittsburg,PA,-79.86744,40.518701,Wal-MartStore
